danmaku,zone,time,total_time
哈哈哈哈哈,digital,124.20100,738
哈哈哈哈哈,digital,143.97900,738
这个也没用，哭了,digital,166.38300,738
？？？？？？？？？,digital,89.42700,738
？？？？？？？？？？？/,digital,103.27900,738
知乎回来了,digital,452.22800,738
抖音真的很分散注意力 所以卸载了,digital,393.59800,738
哈哈哈哈哈哈哈哈哈哈哈,digital,123.87800,738
b站加入,digital,610.23100,738
可是问题只是在生活中，如果不去玩手机的话，根本就找不到什么好玩的事情,digital,309.96000,738
这个可真实过度了,digital,376.75600,738
？？？？,digital,92.15500,738
这个真的没用的，我现在就在延长时间,digital,136.43800,738
太棒了,digital,716.35000,738
我悟了，这就把你关掉,digital,310.32000,738
b站也是 气死了 马上去卸载,digital,455.57100,738
卸载又会下载回来,digital,478.42500,738
都脱单了,digital,40.56800,738
不行,digital,51.43800,738
确实！！,digital,381.06400,738
就像冲一下一样,digital,315.96600,738
我就是，现在还在看你视频,digital,304.06000,738
好家伙我12寸的ipad,digital,62.32400,738
懂了,digital,690.85500,738
文案绝了,digital,703.77800,738
时间碎片往往把时间都弄没了,digital,439.35900,738
不，点进来是因为你,digital,349.52000,738
确实,digital,327.45800,738
太厉害了,digital,686.27800,738
皮肤真好,digital,325.80000,738
更新了？？？,digital,93.54700,738
这是心理学研究啊,digital,327.69500,738
不是的,digital,80.64000,738
狼人插也是4男4女,digital,30.66900,738
A,digital,534.98000,738
过于真实,digital,336.44700,738
会,digital,312.18400,738
谢谢！！,digital,719.98500,738
换电脑！,digital,290.07800,738
我会紧张的玩手机,digital,319.56000,738
牛,digital,728.96900,738
这个第一章就很灵性,digital,303.10700,738
牛批,digital,600.64900,738
谢谢好狠,digital,225.58200,738
哈哈哈哈哈哈哈,digital,130.80100,738
、,digital,514.96100,738
这不会就是我使用手机的方法吗,digital,551.01000,738
？？？？？,digital,94.34100,738
？？,digital,90.07100,738
天 真实,digital,330.73100,738
？,digital,91.97900,738
焦虑地玩手机,digital,329.86000,738
浮岛物语！,digital,265.41000,738
................................,digital,420.56400,738
感谢小何,digital,677.96900,738
壕无人性,digital,93.13700,738
霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉霉,digital,409.02000,738
