id,name,grade,category,tag_name,book_num
106009,全明星激斗,7.0,卡牌,"['卡牌', '策略', '卡牌', '格斗', '拳皇', 'SNK正版']",24400
105965,我的仙门,8.5,模拟经营,"['模拟经营', '蜀山', '剑仙', '模拟经营', '经营', '仙侠']",24974
105829,代号：B.E.E,5.0,角色扮演,"['角色扮演', '二次元', '动作', '科幻', '动漫改编']",39164
105691,挂机吧兄弟,5.0,卡牌,"['卡牌', '回合制', '三国', '挂机', 'Q版', '放置卡牌']",45
105969,踏马江湖,10.0,角色扮演,"['角色扮演', '水墨', '武侠', 'AVG', '红颜', '自定义命运']",23925
105931,熔芯聚变,8.7,回合战略,"['回合战略', '硬核', '赛博朋克', '后启示录', '射击', '战棋']",92754
105871,完美世界经典版,5.5,MMORPG,"['MMORPG', '冒险', '飞行', 'MMORPG', '完美世界', '完美世界经典版']",23177
105941,异次元主公,9.8,卡牌,"['卡牌', '卡牌', '异次元主公', '战姬', '即时战斗', '二次元']",23964
105809,逆火苍穹,10.0,角色扮演,"['角色扮演', '高自由度', 'MMORPG', '情缘']",22787
105939,末日雄师,7.2,卡牌,"['卡牌', '放置挂机', '策略卡牌', '僵尸', '角色扮演']",23760
105910,末世觉醒之入侵,7.3,MMORPG,"['MMORPG', '角色扮演', '人工智能', '废土', '末世']",23200
105944,剑侠世界3,8.9,角色扮演,"['角色扮演', '高画质', '武侠', '国风', '群战', 'MMORPG']",23840
105916,代号：23,8.8,策略,"['策略', '卡牌', '二次元', '即时战略', '攻防', '养成']",84482
105881,梦境重塑,9.7,角色扮演,"['角色扮演', '策略', '二次元', '剧情', '美少女']",60906
105685,全民疯乐战,10.0,策略,"['策略', '塔防', '休闲', '星际', '经营策略', 'TD']",124
105830,航海王热血航线,9.0,角色扮演,"['角色扮演', '3D', 'ACG', '航海王', '动漫', '动作']",61058
105848,超次元女神,8.0,卡牌,"['卡牌', '策略', '挂机', '美少女', '回合制', '放置']",23934
105551,王者降临,6.8,养成,"['养成', '二次元', '知名声优', '角色养成', '海量剧情']",26377
105768,风月幻想,4.0,角色扮演,"['角色扮演', '策略', '卡牌养成', '唐风']",104
105728,轻舞罗裳,8.0,养成,"['养成', '剧情', '收集', '男神', '免费小说', '换装养成']",406
105863,拔剑称王,5.0,策略,"['策略', '圆桌骑士', '战争策略', '亚瑟王传奇', '小局制SLG', '欧卡风']",96
105824,寻将online,2.2,MMORPG,"['MMORPG', '魔幻', '暗黑', 'PK', '副本']",295
104931,刀剑神域黑衣剑士：王牌,7.3,MMORPG,"['MMORPG', '二次元', '动漫', '动作', '3D', '冒险', '日系']",1825075
104846,终末阵线：伊诺贝塔,9.0,射击,"['射击', '二次元', '养成', '3D', '机甲', '弹幕射击']",375918
105693,全战天下,8.0,策略,"['策略', '策略', 'SLG']",219
105745,学园偶像季：群星闪耀,9.7,音乐节奏,"['音乐节奏', 'lovelive', '节奏动作RPG']",96264
105806,次元封神录,7.3,跑酷,"['跑酷', '跑酷', '横版', '西游', '封神', 'Q版']",22985
105778,商店英雄(Shop Heroes): 贸易大战,7.5,模拟经营,"['模拟经营', '手机游戏', '游戏', '手游', '模拟经营', '模拟经营手游']",162
105805,巨像文明,8.7,策略,"['策略', 'SLG', '多人', '经营', '建造', '战争策略']",22920
105764,猫灵相册,8.8,养成,"['养成', '二次元', '恋爱', '猫灵', '喵舞']",59040
105752,繁荣美食市场物语,10.0,模拟经营,"['模拟经营', '剧情', '美食', '治愈', '怀旧', '模拟经营']",862
105668,突袭：暗影传说,6.8,角色扮演,"['角色扮演', '策略', '卡牌', '收集', '回合', '西方魔幻']",23107
105727,造物梦工厂,10.0,模拟经营,"['模拟经营', '玩偶', 'DIY', '经营', '放置', '独立游戏']",2196
105722,拂晓,5.0,策略,"['策略', '舰娘', '美少女', '拂晓', '养成', '即时海战']",70326
