排名,小组名称,小组成员数,刷新时间,周总讨论,人均讨论,刷新增长
151, 流浪粉丝收容所, 5468, 2021-03-24 03:22:59, 23, 0.0042, 23
152, 韩圈, 5833, 2021-03-24 03:21:14, 22, 0.0038, 22
153, 真知棒街道办, 1234, 2021-03-24 03:17:38, 19, 0.0154, 19
154, 下楼预备役, 2789, 2021-03-24 03:18:37, 18, 0.0065, 18
155, 豆瓣首尔艺高, 4105, 2021-03-24 03:19:48, 17, 0.0041, 17
156, 大虞海棠, 1839, 2021-03-24 03:22:54, 17, 0.0092, 17
157, KPOP糊逼小组, 7879, 2021-03-24 03:21:26, 16, 0.002, 16
158, 我们都爱谐音梗, 40216, 2021-03-24 03:07:58, 13, 0.0003, 13
159, 豆瓣盒组, 5426, 2021-03-24 03:14:37, 13, 0.0024, 13
160, 名侦探学院·密逃大神版, 12101, 2021-03-24 03:20:23, 12, 0.001, 12
